epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1903.51,1.59984,0.98152,1.02362,0.70585,0.75442,0.75878,0.39942,1.56348,0.93724,1.01092,0.000580174,0.000580174,0.000580174
92,1924.07,1.61449,0.99197,1.01718,0.71115,0.75519,0.76182,0.40102,1.55849,0.94667,1.00752,0.000570743,0.000570743,0.000570743
93,1945.08,1.59562,0.99251,1.01796,0.69453,0.76891,0.75297,0.3852,1.59405,0.96353,1.01393,0.000561311,0.000561311,0.000561311
94,1965.81,1.59559,0.9923,0.99874,0.71644,0.76194,0.76169,0.40376,1.55132,0.93257,1.00728,0.00055188,0.00055188,0.00055188
95,1986.86,1.60804,0.99487,1.02204,0.72557,0.76455,0.78142,0.40312,1.5548,0.934,1.00758,0.000542448,0.000542448,0.000542448
96,2007.76,1.60856,1.02192,1.01701,0.72069,0.75601,0.77599,0.40545,1.55539,0.93293,1.01035,0.000533017,0.000533017,0.000533017
97,2028.83,1.58828,0.9636,1.04238,0.7106,0.77367,0.77446,0.40946,1.54994,0.92245,1.00719,0.000523586,0.000523586,0.000523586
98,2049.78,1.5902,0.99363,1.02953,0.7042,0.78256,0.77554,0.41135,1.5339,0.9281,1.00335,0.000514154,0.000514154,0.000514154
99,2070.78,1.60513,0.98524,1.02048,0.71111,0.78826,0.77794,0.40784,1.55405,0.92702,1.0079,0.000504723,0.000504723,0.000504723
100,2091.42,1.60099,0.96846,1.02164,0.72205,0.75888,0.76941,0.40418,1.5663,0.94111,1.00771,0.000495291,0.000495291,0.000495291
101,2111.91,1.58455,0.96692,1.01927,0.71122,0.76979,0.7711,0.41368,1.53806,0.93631,1.00383,0.00048586,0.00048586,0.00048586
102,2132.97,1.58291,0.95334,1.00886,0.73987,0.75453,0.7846,0.41821,1.53416,0.90806,1.00226,0.000476429,0.000476429,0.000476429
103,2154.06,1.55621,0.95099,1.00124,0.71829,0.77934,0.77941,0.41923,1.53001,0.90611,1.00248,0.000466997,0.000466997,0.000466997
104,2175.04,1.57504,0.99107,1.01012,0.71492,0.77106,0.77357,0.4074,1.54027,0.92872,1.0015,0.000457566,0.000457566,0.000457566
105,2195.71,1.56984,0.95362,0.99924,0.70358,0.78739,0.77821,0.4047,1.55728,0.92323,1.00602,0.000448134,0.000448134,0.000448134
106,2216.19,1.56816,0.95074,1.0078,0.69574,0.77648,0.77096,0.41253,1.53304,0.92246,1.00143,0.000438703,0.000438703,0.000438703
107,2236.94,1.56105,0.9596,1.03116,0.72758,0.78606,0.78892,0.42127,1.53024,0.90929,1.00022,0.000429272,0.000429272,0.000429272
108,2257.89,1.54785,0.96073,1.00036,0.72546,0.78387,0.78112,0.41625,1.52223,0.91202,0.99815,0.00041984,0.00041984,0.00041984
109,2278.53,1.55461,0.92699,1.00572,0.73302,0.79075,0.79208,0.41825,1.54046,0.89161,1.00141,0.000410409,0.000410409,0.000410409
110,2299.08,1.56818,0.93832,1.00815,0.72128,0.7857,0.78849,0.42129,1.51852,0.88873,0.99698,0.000400977,0.000400977,0.000400977
111,2319.5,1.55549,0.93396,1.01444,0.71271,0.77804,0.77734,0.41215,1.53208,0.91928,0.99925,0.000391546,0.000391546,0.000391546
112,2340.03,1.55947,0.94156,1.01515,0.73699,0.78334,0.80179,0.42988,1.52167,0.88298,0.99886,0.000382115,0.000382115,0.000382115
113,2360.97,1.54655,0.92542,1.01577,0.73527,0.7655,0.79024,0.42433,1.52799,0.89681,0.999,0.000372683,0.000372683,0.000372683
114,2381.5,1.5525,0.93965,1.01194,0.73074,0.79126,0.79328,0.43044,1.5023,0.88511,0.99254,0.000363252,0.000363252,0.000363252
115,2402.1,1.55762,0.93379,0.99757,0.74191,0.79376,0.79769,0.43404,1.49638,0.87493,0.99252,0.00035382,0.00035382,0.00035382
116,2423.18,1.55738,0.9412,1.01962,0.73795,0.78923,0.79633,0.42949,1.49903,0.87506,0.99246,0.000344389,0.000344389,0.000344389
117,2443.65,1.51849,0.92124,1.02308,0.73301,0.79269,0.80085,0.43732,1.49994,0.8733,0.9922,0.000334958,0.000334958,0.000334958
118,2464.69,1.55563,0.92713,1.00824,0.74284,0.78587,0.79844,0.43697,1.49285,0.87562,0.99094,0.000325526,0.000325526,0.000325526
119,2485.28,1.54654,0.94437,1.00804,0.73801,0.79855,0.79992,0.43987,1.47911,0.87029,0.98656,0.000316095,0.000316095,0.000316095
120,2506.33,1.50396,0.90615,0.99147,0.75338,0.79333,0.80773,0.44459,1.47506,0.86668,0.98612,0.000306663,0.000306663,0.000306663
121,2527.28,1.52584,0.91841,1.00903,0.73684,0.80138,0.81381,0.44592,1.48782,0.8611,0.98746,0.000297232,0.000297232,0.000297232
122,2548.43,1.52989,0.9156,0.99701,0.74096,0.79409,0.80487,0.43974,1.49341,0.87118,0.98936,0.000287801,0.000287801,0.000287801
123,2569.04,1.52938,0.91117,0.99456,0.73956,0.80548,0.80424,0.44436,1.47278,0.8526,0.98659,0.000278369,0.000278369,0.000278369
124,2589.52,1.53482,0.90238,0.9971,0.73469,0.79873,0.80197,0.43824,1.48047,0.86892,0.98738,0.000268938,0.000268938,0.000268938
